SKU,name,uvas,añada,D.O.,tipo_crianza,meses_barrica,tipo_vino,proveedor,final_price,description,descripcion_combinada
VT-AVAN,Vino Tinto Avan Viñedos Viejos,Tempranillo,2012,D.O. Ribera del Duero,Joven,12 meses,Vino Tinto,VINALIA IMPORT S.L.,12.6,"Vino Tinto Avan
Potente y Poderoso
Edad del viñedo: entre 20 y 40 años.
12 meses de Crianza en barrica nueva de roble francés
Procedente de cepas plantadas a más de 900 metros de altitud. Vino sabroso, maduro, refrescante y equilibrado. Aromas intensos y persistentes. Una fórmula secreta que permite a Avan ser un vino único y personal.
Si tiene alguna duda a la hora de Comprar Vino Tinto Avan  tu tienda online de venta de vino y bebidas alcoholicas, pongase en contacto con nuestro sumiller.",Tempranillo 2012 D.O. Ribera del Duero Joven 12 meses Vino Tinto VINALIA IMPORT S.L. 12.6
TERRUNODEVALDEHERNANDO,Vino Tinto Avan Terruño de Valdehernando,Tinta del País,2016,D.O. Ribera del Duero,Crianza,18 meses,Vino Tinto,VINALIA IMPORT S.L.,30.8,"VINO TINTO AVAN TERRUÑO DE VALDEHERNANDONota de cata del vino tinto Avan Terruño de Valdehernando:Vista: Dificultad para apreciar el aumento de color en comparación con Avan Concentración, ya que también es opaco. Siempre con ribetes amoratados por ser un vino joven que no ha sufrido alteración alguna en su proceso de envejecimiento. Eso nos puede dar una pista de los años de guarda, de 15 a 20 años. Nariz: Los aromas recuerdan a los de una gran fragancia, predominando las flores sobre las frutas, especias, etc... Elegante, fino y largo. Boca: En boca es cremoso, goloso y con un final sorprendente por la elegancia y potencia que deja a la vez. Vamos que hay que tomar otro trago. En este vino se pretende sacar la parte más femenina y sensual del vino. Tinto Crianza: 18 meses en barrica de roble francés (100% nuevas).El Vino tinto Avan Terruño de Valdehernando es elaborado con uvas 100% tinta del país que provienen de un viñedo muy especial del pago de Valdehernando, plantado en 1934.Productor: Bodegas y Viñedos Juan Manuel Burgos.Denominacion de Origen del vino tinto Avan Terruño de Valdehernando: Ribera del Duero.Tipo de uva: Tinta del PaisBodega:Bodegas y Viñedos Juan Manuel Burgos es una pequeña bodega familiar de 30 hetareas, situada en la zona de Fuentelcésped, que elabora vinos con tempranillo en la Ribera del Duero, una de las más prestigiosas regiones vitivinicolas de España.Su propietario Juan Manuel Burgos, viticultor y enólogo, presume de hacer las cosas a su manera: ""¡No seguimos las normas ... y a nuestros clientes les gusta!""Juan Manuel es un amante del buen vino y ha dedicado gran parte e su vida a la investigación para crear un vino elaborado con uva tempranillo aplicando técnicas naturales que respetan el ciclo de la vid y con ello consigue caldos que sorprende a cualquier entusiasta del vino.La uva tempranillo es la que mejor se adapta al clima y el terreno de la Ribera, ofreciendo una sinfonia de aromas y sabores.Los vinos que elaboran en la bodega de Juan Manuel Burgos son:- Avan Nacimiento. De viña joven, fresco y afrutado.- Avan Concentración. Un concentrado de aromas.- Avan Viñedo del Torrubio. El olor del verano en una tarde de tormenta.- Avan Terruño de Valdehernando. Complejo, sensual, femenino.- Avan Cepas Centenarias. Un vino para catar sin prisas. Si tiene alguna duda a la hora de Comprar VINO TINTO AVAN TERRUÑO DE VALDEHERNANDO en Vinopremier.com tu tienda online de venta de vino y bebidas alcoholicas, pongase en contacto con nuestro sumiller.",Tinta del País 2016 D.O. Ribera del Duero Crianza 18 meses Vino Tinto VINALIA IMPORT S.L. 30.8
VT-BALBAS-ALITUS,Vino Tinto Balbás Alitus Reserva Especial,Cabernet Sauvignon|Merlot|Tempranillo,2009,D.O. Ribera del Duero,Reserva,36 meses,Vino Tinto,Bodegas Balbás S.L.,90.75,"VINO TINTO BALBÁS ALITUS RESERVA ESPECIAL
El vino tinto Balbás Alitus Reserva Especial está elaborado con uva tempranillo 75%, Cabernet Sauvignon 10% y Merlot 5%. Pertenece a la D.O. Ribera del Duero.  Elaborado con esmero. Tiene una crianza de 36 meses comenzando en 12 meses en barrica de roble francés, 12 meses en barrica de roble americano y para terminar, 12 meses en barrica de duelas de roble francés y fondos de roble americano, lo que le proporciona una gran complejidad. Para redondearlo, está 36 meses en botella antes de presentarse en el mercado.
 El Magazine Wine & Spirits ha concedido 94 PUNTOS al Balbás Alitus Reserva Especial . Servir este vino a una temperatura entre 16º y 18º, antes de ser servido es recomendable decantarlo media hora. 
MARIDAJE DEL VINO TINTO BALBÁS ALITUS RESERVA ESPECIAL :  Es idóneo para carnes rojas, caza y quesos curados.     
NOTA DE CATA VINO TINTO BALBÁS ALITUS RESERVA ESPECIAL : 
Vista: En vista se presenta con un bello color cereza con matices rubi. Destaca por su notable profundidad y densidad de pigmentación. Brillante y límpio, con delicada corona color teja. 
Nariz: En nariz se presenta destaca el largo tiempo en crianza y ensamblaje de sus tres variedades. 
Boca: En boca se muestra con una suavidad aterciopelada. La acidez y los taninos siguen presentes y en boca explota sensaciones de gran suculencia. 
Graduación Alcohólica de el vino tinto Balbás Alitus Reserva Especial : 14 grados 
Si tiene alguna duda a la hora de comprar vino tinto Balbás Alitus Reserva Especial , póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Cabernet Sauvignon|Merlot|Tempranillo 2009 D.O. Ribera del Duero Reserva 36 meses Vino Tinto Bodegas Balbás S.L. 90.75
VT-BALBAS-CRIANZA,Vino Tinto Balbás Crianza,Cabernet Sauvignon|Tempranillo,2018,D.O. Ribera del Duero,Crianza,18 meses,Vino Tinto,Bodegas Balbás S.L.,22.32,"El vino tinto Balbás Crianza  está elaborado con uva tempranillo 90% y Cabernet Sauvignon 10%, por Bodegas Balbás. Pertenece a la D.O. Ribera del Duero.
La crianza de este vino se lleva a cabo durante 18 meses en barrica de roble americano, posteriormente se perfecciona en botella durante un periodo de 12 meses antes de presentarse en el mercado. 
La temperatura idonea de servicio de este vino está entre los 16º y 18º, antes de ser servido es recomendable decantarlo una hora antes. 
Si tiene alguna duda a la hora de comprar el Vino tinto Balbás Crianza , póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso. ",Cabernet Sauvignon|Tempranillo 2018 D.O. Ribera del Duero Crianza 18 meses Vino Tinto Bodegas Balbás S.L. 22.32
VT-BALBAS-GRAN-RESERVA,Vino Tinto Balbás Gran Reserva,Cabernet Sauvignon|Tempranillo,2014,D.O. Ribera del Duero,Gran Reserva,36 meses,Vino Tinto,Bodegas Balbás S.L.,49.91," VINO TINTO BALBÁS GRAN RESERVA
El vino tinto Balbás gran reserva está elaborado con uva tempranillo 90% y Cabernet Sauvignon 10%. Pertenece a la D.O. Ribera del Duero.  Las Bódegas Balbás elabora grandes vinos de gran reserva, cuidados con esmero. Tiene una crianza de 36 meses en barrica de roble francés, posteriormente se redondea en botella durante un periodo de 36 meses antes de presentarse en el mercado.
Tiene un recorrido optimo hasta 2017. El Magazine Wine & Spirits ha concedido 96 puntos al gran reserva Balbás . Igualmente ha obtenido 91 puntos en la guía 2011 de catas de vinos de Castilla y León. Servir este vino a una temperatura entre 16º y 18º, antes de ser servido es recomendable decantarlo dos horas antes y mantener en el decantador. 
MARIDAJE DEL VINO TINTO BALBÁS GRAN RESERVA :  Es idóneo para carnes rojas, caza y quesos curados.  
NOTA DE CATA VINO TINTO BALBÁS GRAN RESERVA : 
Vista: En vista se presenta bien cubierto y de lágrima densa. Es un vino de lenta evolución con ribetes rubí. 
Nariz: En nariz se presenta con aromas de fruta sobremadura y confitada muy profundos. Aromas complejos con recuerdo a cueros y minerales. 
Boca: En boca se presenta como un vino carnoso potente, solidamente construido. Vía retronasal larga y potente. 
Graduación Alcohólica de El Vino Tinto : 14 grados Si tiene alguna duda a la hora de comprar El vino tinto Balbás gran reserva, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Cabernet Sauvignon|Tempranillo 2014 D.O. Ribera del Duero Gran Reserva 36 meses Vino Tinto Bodegas Balbás S.L. 49.91
VT-BALBAS-TITUS-SELECCION-PRIVADA,Vino Tinto Balbás Ritus Selección Privada,Merlot|Tempranillo,2016,D.O. Ribera del Duero,Crianza,18 meses,Vino Tinto,Bodegas Balbás S.L.,33.5,"VINO TINTO BALBÁS RITUS SELECCIÓN PRIVADA
El vino tinto Balbás Ritus Selección Privada está elaborado con uva tempranillo 75% y Merlot 25%.Pertenece a la D.O. Ribera del Duero.  Es un vino de corte moderno, siguiendo los criterios de los ""Vinos de Pago"", dado que las dos variedades se han plantado en una misma parcela a 940 metros. Tiene una crianza de 18 meses en barrica de roble francés y 12 meses en botella El vino tinto Balbás Ritus Selección Privada  está incluido en la ""Guía Peñín"" de los Mejores Vinos de España 2009. 
Servir este vino a una temperatura entre 16º y 18º, antes de ser servido es recomendable decantarlo 20 minutos. 
MARIDAJE DEL VINO TINTO BALBÁS RITUS SELECCIÓN PRIVADA : ES idóneo para carnes rojas, embutidos, caza y quesos.   
NOTA DE CATA VINO TINTO BALBÁS RITUS SELECCION PRIVADA: 
Vista: En vista se presenta limpio de color cereza, con borde granate. 
Nariz: En nariz se presenta con potentes aromas a chocolate, caramelo tostado y fruta madura, gracias al aporte de la variedad Merlot. 
Boca: En boca se presenta como un vino sabroso, carnoso, con taninos maduros y buena acidez. 
Graduación Alcohólica de El Vino Tinto : 14 grados 
Si tiene alguna duda a la hora de comprar vino tinto Balbás Ritus Selección Privada , póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.  ",Merlot|Tempranillo 2016 D.O. Ribera del Duero Crianza 18 meses Vino Tinto Bodegas Balbás S.L. 33.5
VT-BASSUS-FINCA-CASILLA-HERRERA,Vino Tinto Bassus Finca Casilla Herrera,Bobal|Cabernet Franc|Merlot|Petit Verdot|Syrah,2017,D.O. Valencia,Crianza,10 meses,Vino Tinto,BODEGAS HISPANO SUIZAS S.L.,29.5,"Vino Tinto Bassus Finca Casilla Herrera
El Vino Tinto Bassus Finca Casilla Herrera, está elaborado principalmente con uva típica Valenciana, tipo varietal Bobal; se ha hecho un coupage con uvas de variedad : Cabernet, Merlot, Syrah y Petit Verdot. Tiene una D.O. Utiel-Requena, la cual cuenta con clima continental  influenciado por el Mediterráneo y suelos arcillosos y calizos. Para la elaboración del Vino Tinto Bassus Finca Casilla Herrera, se seleccionan las mejores uvas de cepas de baja producción de sus propios viñedos de Pinot Noir, vendimiando sólo por la mañana y utilizando cajas de 15 kg. Una vez en la bodega, se depositan las cajas llenas de uva en una cámara frigorífica, manteniendolas 3 días a -10ºC. Tras esto, se selecciona caja por caja y se procede al despalillado y encubado en barricas de roble americano. 
Para proceder a la maceración en frío a 8ºC, se introduce una placa de acero inoxidable refrigerada por agua; a cada barrica durante 4 días. El sombrero se hunde diariamente, barrica por barrica, de forma manual. En cuanto a la fermentación, se cierra el agua refrigerante para que la propia barrica pueda llegar a un máximo de 26ºC de temperatura. Pasados 15 días se prensa neumáticamente la uva, prensado de no más de 0.5 Bares. Crianza de 10 a 20 meses en barricas nuevas de roble francés Allier, y embotellado filtrándolo ligeramente. 
Servir este vino a una temperatura entre 16 y 18 grados. Si tiene alguna duda a la hora de comprar Vino Tinto Bassus Finca Casilla Herrera, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Bobal|Cabernet Franc|Merlot|Petit Verdot|Syrah 2017 D.O. Valencia Crianza 10 meses Vino Tinto BODEGAS HISPANO SUIZAS S.L. 29.5
biberius,Vino Tinto Biberius Roble,Tempranillo,2021,D.O. Ribera del Duero,Roble,4 meses,Vino Tinto,Carbonicas Alvarez S.L.,7.2,"Vino Tinto Biberius Roble de Comenge.
El vino tinto Biberius  está elaborado con 100% Tempranillo y pertenece a la D.O. Ribera del Duero. Los viñedos están situados entre Pesquera del Duero y Curiel del Duero, cuenta las bodegas Comenge con 32 hectáreas de tempranillo. En esta bodega se tiene un exquisito cuidado por la sostenibilidad considerando el viñedo como un elemento vivo. Este es el vino mas joven de la Bodega que tiene una crianza de 4 meses en barricas de roble Francés. Servir este vino a una temperatura entre 16º y 18º. 
MARIDAJE DEL VINO TINTO BIBERIUS ROBLE: Está especialmente recomendado para carnes blancas, aperitivos, arroces, pastas... 
Si tiene alguna duda a la hora de comprar Vino tinto Biberius, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Tempranillo 2021 D.O. Ribera del Duero Roble 4 meses Vino Tinto Carbonicas Alvarez S.L. 7.2
VT-BOSQUE-DE-MATASNOS,Vino Tinto Bosque de Matasnos Crianza,Tempranillo,2019,D.O. Ribera del Duero,Crianza,12 meses,Vino Tinto," DISTRIBUCIONES M. ARRANZ, S.A",27.9,"VINO TINTO BOSQUE DE MATASNOS CRIANZA
El vino tinto Bosque de Matasnos  está elaborado con 95% Tempranillo y 5% Merlot. Pertenece a la D.O. Ribera del Duero. El vino se nombra como el viñedo, Bosque de Matasnos, localizado a unos 950 metros de altitud sobre el nivel del mar.  Este vino tiene una crianza de de 12 meses en barricas , nuevas de calidad premium, de roble Francés y Americano. Servir este vino a una temperatura de 18º, antes de ser servido es recomendable decantarlo, para percibir su multitud de aromas. 
Graduación Alcohólica de El Vino Tinto Bosque de Matasnos : 15.00 grados 
Si tiene alguna duda a la hora de comprar Vino tinto Bosque de Matasnos, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso. ","Tempranillo 2019 D.O. Ribera del Duero Crianza 12 meses Vino Tinto  DISTRIBUCIONES M. ARRANZ, S.A 27.9"
VT-BRO-VALERO-CABERNET,Vino Tinto Bro Valero Cabernet Sauvignon Ecológico,Cabernet Sauvignon,2017,D.O. La Mancha,Crianza,10 meses,Vino Tinto,BRO VALERO C.B,7.2,"VINO TINTO BRO VALERO CABERNET SAUVIGNON ECOLÓGICO
El vino tinto Bro Valero Cabernet Sauvignon  está elaborado con 100% Cabernet Sauvignon y pertenece a la D.O. La Mancha. Este vino es realizado por Bro Valerro Bodegas y Viñedos que nace en 1998, teniendo 69 Hectáreas de explotación vitivinícola en la Finca La Navarra. El viñedo se encuentra en Villarrobledo en la provincia de Albacete a una altura sobre el nivel del mar de unos 710 metros. Vendimia nocturna. 
Este vino ha tenido una crianza entre 8 y 10 meses en barricas de roble americano y francés. 
Obtuvo 90 puntos Parker. 
Servir este vino a una temperatura entre 16º y 18º. 
Si tiene alguna duda a la hora de comprar Vino tinto Bro Valero Cabernet Sauvignon, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso. ",Cabernet Sauvignon 2017 D.O. La Mancha Crianza 10 meses Vino Tinto BRO VALERO C.B 7.2
VT-BRO-VALERO-SYRAH,Vino Tinto Bro Valero Syrah Ecológico,Syrah,2012,D.O. La Mancha,Crianza,12 meses,Vino Tinto,BRO VALERO C.B,6.5,"VINO TINTO BRO VALERO SYRAH ECOLÓGICO
El vino tinto Bro Valero Syrah está elaborado con 100% Syrah y pertenece a la D.O. La mancha. Este vino es realizado por Bro Valerro Bodegas y Viñedos que nace en 1998, teniendo 69 Hectáreas de explotación vitivinícola propias en la Finca La Navarra. 
El viñedo se encuentra en Villarrobledo en la provincia de Albacete a una altura sobre el nivel del mar de unos 710 metros. La vendimia se realiza de forma nocturna para que la uva entre en la bodega a la temperatura optima. Este vino tiene una crianza de 12 meses en barrica de roble francés y Americano. Todo el proceso de elaboración de este excelente vino es respetuoso con el entorno y el medio ambiente, pudiéndose considerar un Vino Ecológico y artesanal. 
Servir este vino a una temperatura entre 16º y 18º. 
Si tiene alguna duda a la hora de comprar Vino tinto Bro Valero Syrah, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Syrah 2012 D.O. La Mancha Crianza 12 meses Vino Tinto BRO VALERO C.B 6.5
