SKU,name,description,final_price,uvas,proveedor,añada,D.O.,tipo_crianza,meses_barrica,tipo_vino
arzuagareserva,Vino Tinto Arzuaga Reserva,"<p><strong>Vino Tinto Arzuaga Reserva.</strong></p>
<p>El vino tinto Arzuaga Reservaestá elaborado con 95% Tinto Fino y 5% Merlot. Las viñas provienen de la finca de ""La Planta"" propiedad de Bodegas Arzuaga Navarro. A 900 metros de Altitud. </p>
<p>Este vino tiene una crianza de 26 meses en barricas de roble Francés. Servir este vino a una temperatura de 17º. </p>
<p>Maridaje del vino tinto Arzuaga Reserva: Está especialmente recomendado para carnes contundentes, guisos, caza... </p>
<p>Si tiene alguna duda a la hora de comprar Vino tinto Arzuaga Reserva, póngase en contacto con elsumiller de nuestra tienda online de vinos y le asesorará sin compromiso.  </p>",33.75,Cabernet Sauvignon|Merlot|Tempranillo,COALLA,2019,D.O. Ribera del Duero,Reserva,26 meses,Vino Tinto
VT-AVAN,Vino Tinto Avan Viñedos Viejos,"<p><strong>Vino Tinto Avan</strong></p>
<p>Potente y Poderoso</p>
<p><span>Edad del vi&ntilde;edo: entre 20 y 40 a&ntilde;os.</span></p>
<p><span>12 meses de Crianza en barrica nueva de roble franc&eacute;s</span></p>
<p>Procedente de cepas plantadas a m&aacute;s de 900 metros de altitud. Vino sabroso, maduro, refrescante y equilibrado. Aromas intensos y persistentes. Una f&oacute;rmula secreta que permite a Avan ser un vino &uacute;nico y personal.</p>
<p>Si tiene alguna duda a la hora de Comprar <strong>Vino Tinto Avan&nbsp;</strong>&nbsp;tu tienda online de venta de vino y bebidas alcoholicas, pongase en contacto con nuestro sumiller.</p>",12.6,Tempranillo,VINALIA IMPORT S.L.,2012,D.O. Ribera del Duero,Joven,12 meses,Vino Tinto
TERRUNODEVALDEHERNANDO,Vino Tinto Avan Terruño de Valdehernando,"<p>VINO TINTO AVAN TERRU&Ntilde;O DE VALDEHERNANDONota de cata del vino tinto Avan Terru&ntilde;o de Valdehernando:Vista: Dificultad para apreciar el aumento de color en comparaci&oacute;n con Avan Concentraci&oacute;n, ya que tambi&eacute;n es opaco. Siempre con ribetes amoratados por ser un vino joven que no ha sufrido alteraci&oacute;n alguna en su proceso de envejecimiento. Eso nos puede dar una pista de los a&ntilde;os de guarda, de 15 a 20 a&ntilde;os.&nbsp;Nariz: Los aromas recuerdan a los de una gran fragancia, predominando las flores sobre las frutas, especias, etc... Elegante, fino y largo.&nbsp;Boca: En boca es cremoso, goloso y con un final sorprendente por la elegancia y potencia que deja a la vez. Vamos que hay que tomar otro trago.&nbsp;En este vino se pretende sacar la parte m&aacute;s femenina y sensual del vino. Tinto Crianza: 18 meses en barrica de roble franc&eacute;s (100% nuevas).El Vino tinto Avan Terru&ntilde;o de Valdehernando es elaborado con uvas 100% tinta del pa&iacute;s que provienen de un vi&ntilde;edo muy especial del pago de Valdehernando, plantado en 1934.Productor: Bodegas y Vi&ntilde;edos Juan Manuel Burgos.Denominacion de Origen del vino tinto Avan Terru&ntilde;o de Valdehernando: Ribera del Duero.Tipo de uva: Tinta del PaisBodega:Bodegas y Vi&ntilde;edos Juan Manuel Burgos es una peque&ntilde;a bodega familiar de 30 hetareas, situada en la zona de Fuentelc&eacute;sped, que elabora vinos con tempranillo en la Ribera del Duero, una de las m&aacute;s prestigiosas regiones vitivinicolas de Espa&ntilde;a.Su propietario Juan Manuel Burgos, viticultor y en&oacute;logo, presume de hacer las cosas a su manera: ""&iexcl;No seguimos las normas ... y a nuestros clientes les gusta!""Juan Manuel es un amante del buen vino y ha dedicado gran parte e su vida a la investigaci&oacute;n para crear un vino elaborado con uva tempranillo aplicando t&eacute;cnicas naturales que respetan el ciclo de la vid y con ello consigue caldos que sorprende a cualquier entusiasta del vino.La uva tempranillo es la que mejor se adapta al clima y el terreno de la Ribera, ofreciendo una sinfonia de aromas y sabores.Los vinos que elaboran en la bodega de Juan Manuel Burgos son:- Avan Nacimiento. De vi&ntilde;a joven, fresco y afrutado.- Avan Concentraci&oacute;n. Un concentrado de aromas.- Avan Vi&ntilde;edo del Torrubio. El olor del verano en una tarde de tormenta.- Avan Terru&ntilde;o de Valdehernando. Complejo, sensual, femenino.- Avan Cepas Centenarias. Un vino para catar sin prisas.&nbsp;Si tiene alguna duda a la hora de Comprar VINO TINTO AVAN TERRU&Ntilde;O DE VALDEHERNANDO en Vinopremier.com tu tienda online de venta de vino y bebidas alcoholicas, pongase en contacto con nuestro sumiller.</p>",30.8,Tinta del País,VINALIA IMPORT S.L.,2016,D.O. Ribera del Duero,Crianza,18 meses,Vino Tinto
VT-BALBAS-ALITUS,Vino Tinto Balbás Alitus Reserva Especial,"<p>VINO TINTO BALB&Aacute;S ALITUS RESERVA ESPECIAL</p>
<p>El vino tinto Balb&aacute;s Alitus Reserva Especial est&aacute; elaborado con uva tempranillo 75%, Cabernet Sauvignon 10% y Merlot 5%. Pertenece a la D.O. Ribera del Duero.&nbsp;&nbsp;Elaborado con esmero. Tiene una crianza de 36 meses comenzando en 12 meses en barrica de roble franc&eacute;s, 12 meses en barrica de roble americano y para terminar, 12 meses en barrica de duelas de roble franc&eacute;s y fondos de roble americano, lo que le proporciona una gran complejidad. Para redondearlo, est&aacute; 36 meses en botella antes de presentarse en el mercado.</p>
<p>&nbsp;El Magazine Wine & Spirits ha concedido 94 PUNTOS al Balb&aacute;s Alitus Reserva Especial .&nbsp;Servir este vino a una temperatura entre 16&ordm; y 18&ordm;, antes de ser servido es recomendable decantarlo media hora.&nbsp;</p>
<p>MARIDAJE DEL VINO TINTO BALB&Aacute;S ALITUS RESERVA ESPECIAL :&nbsp;&nbsp;Es id&oacute;neo para carnes rojas, caza y quesos curados. &nbsp; &nbsp;&nbsp;</p>
<p>NOTA DE CATA VINO TINTO BALB&Aacute;S ALITUS RESERVA ESPECIAL :&nbsp;</p>
<p>Vista: En vista se presenta con un bello color cereza con matices rubi. Destaca por su notable profundidad y densidad de pigmentaci&oacute;n. Brillante y l&iacute;mpio, con delicada corona color teja.&nbsp;</p>
<p>Nariz: En nariz se presenta destaca el largo tiempo en crianza y ensamblaje de sus tres variedades.&nbsp;</p>
<p>Boca: En boca se muestra con una suavidad aterciopelada. La acidez y los taninos siguen presentes y en boca explota sensaciones de gran suculencia.&nbsp;</p>
<p>Graduaci&oacute;n Alcoh&oacute;lica de el vino tinto Balb&aacute;s Alitus Reserva Especial : 14 grados&nbsp;</p>
<p>Si tiene alguna duda a la hora de comprar vino tinto Balb&aacute;s Alitus Reserva Especial , p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.</p>",90.75,Cabernet Sauvignon|Merlot|Tempranillo,Bodegas Balbás S.L.,2009,D.O. Ribera del Duero,Reserva,36 meses,Vino Tinto
VT-BALBAS-CRIANZA,Vino Tinto Balbás Crianza,"<p>El vino tinto <strong>Balbás Crianza</strong>  está elaborado con uva tempranillo 90% y Cabernet Sauvignon 10%, por Bodegas Balbás. Pertenece a la D.O. Ribera del Duero.</p>
<p>La crianza de este vino se lleva a cabo durante 18 meses en barrica de roble americano, posteriormente se perfecciona en botella durante un periodo de 12 meses antes de presentarse en el mercado. </p>
<p>La temperatura idonea de servicio de este vino está entre los 16º y 18º, antes de ser servido es recomendable decantarlo una hora antes. </p>
<p>Si tiene alguna duda a la hora de <strong>comprar el Vino tinto Balbás Crianza</strong> , póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso. </p>",22.32,Cabernet Sauvignon|Tempranillo,Bodegas Balbás S.L.,2018,D.O. Ribera del Duero,Crianza,18 meses,Vino Tinto
VT-BALBAS-GRAN-RESERVA,Vino Tinto Balbás Gran Reserva,"<p>&nbsp;VINO TINTO BALB&Aacute;S GRAN RESERVA</p>
<p>El vino tinto Balb&aacute;s gran reserva est&aacute; elaborado con uva tempranillo 90% y Cabernet Sauvignon 10%. Pertenece a la D.O. Ribera del Duero.&nbsp;&nbsp;Las B&oacute;degas Balb&aacute;s elabora grandes vinos de gran reserva, cuidados con esmero. Tiene una crianza de 36 meses en barrica de roble franc&eacute;s, posteriormente se redondea en botella durante un periodo de 36 meses antes de presentarse en el mercado.</p>
<p>Tiene un recorrido optimo hasta 2017.&nbsp;El Magazine Wine & Spirits ha concedido 96 puntos al gran reserva Balb&aacute;s . Igualmente ha obtenido 91 puntos en la gu&iacute;a 2011 de catas de vinos de Castilla y Le&oacute;n.&nbsp;Servir este vino a una temperatura entre 16&ordm; y 18&ordm;, antes de ser servido es recomendable decantarlo dos horas antes y mantener en el decantador.&nbsp;</p>
<p>MARIDAJE DEL VINO TINTO BALB&Aacute;S GRAN RESERVA :&nbsp;&nbsp;Es id&oacute;neo para carnes rojas, caza y quesos curados.&nbsp;&nbsp;</p>
<p>NOTA DE CATA VINO TINTO BALB&Aacute;S GRAN RESERVA :&nbsp;</p>
<p>Vista: En vista se presenta bien cubierto y de l&aacute;grima densa. Es un vino de lenta evoluci&oacute;n con ribetes rub&iacute;.&nbsp;</p>
<p>Nariz: En nariz se presenta con aromas de fruta sobremadura y confitada muy profundos. Aromas complejos con recuerdo a cueros y minerales.&nbsp;</p>
<p>Boca: En boca se presenta como un vino carnoso potente, solidamente construido. V&iacute;a retronasal larga y potente.&nbsp;</p>
<p>Graduaci&oacute;n Alcoh&oacute;lica de El Vino Tinto : 14 grados&nbsp;Si tiene alguna duda a la hora de comprar El vino tinto Balb&aacute;s gran reserva, p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.</p>",49.91,Cabernet Sauvignon|Tempranillo,Bodegas Balbás S.L.,2014,D.O. Ribera del Duero,Gran Reserva,36 meses,Vino Tinto
VT-BALBAS-TITUS-SELECCION-PRIVADA,Vino Tinto Balbás Ritus Selección Privada,"<p>VINO TINTO BALB&Aacute;S RITUS SELECCI&Oacute;N PRIVADA</p>
<p>El vino tinto Balb&aacute;s Ritus Selecci&oacute;n Privada est&aacute; elaborado con uva tempranillo 75% y Merlot 25%.Pertenece a la D.O.&nbsp;Ribera del Duero.&nbsp;&nbsp;Es un vino de corte moderno, siguiendo los criterios de los ""Vinos de Pago"", dado que las dos variedades se han plantado en&nbsp;una misma parcela a 940 metros. Tiene una crianza de 18 meses en barrica de roble franc&eacute;s y 12 meses en botella&nbsp;El vino tinto Balb&aacute;s Ritus Selecci&oacute;n Privada &nbsp;est&aacute; incluido en la ""Gu&iacute;a Pe&ntilde;&iacute;n"" de los Mejores Vinos de Espa&ntilde;a 2009.&nbsp;</p>
<p>Servir este vino a una temperatura entre 16&ordm; y 18&ordm;, antes de ser servido es recomendable decantarlo 20 minutos.&nbsp;</p>
<p>MARIDAJE DEL VINO TINTO BALB&Aacute;S RITUS SELECCI&Oacute;N PRIVADA :&nbsp;ES id&oacute;neo para carnes rojas, embutidos, caza y quesos. &nbsp;&nbsp;</p>
<p>NOTA DE CATA VINO TINTO BALB&Aacute;S RITUS SELECCION PRIVADA:&nbsp;</p>
<p>Vista: En vista se presenta limpio de color cereza, con borde granate.&nbsp;</p>
<p>Nariz: En nariz se presenta con potentes aromas a chocolate, caramelo tostado y fruta madura, gracias al aporte de la&nbsp;variedad Merlot.&nbsp;</p>
<p>Boca: En boca se presenta como un vino sabroso, carnoso, con taninos maduros y buena acidez.&nbsp;</p>
<p>Graduaci&oacute;n Alcoh&oacute;lica de El Vino Tinto : 14 grados&nbsp;</p>
<p>Si tiene alguna duda a la hora de comprar vino tinto Balb&aacute;s Ritus Selecci&oacute;n Privada , p&oacute;ngase en contacto con el sumiller&nbsp;de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso. &nbsp;</p>",33.5,Merlot|Tempranillo,Bodegas Balbás S.L.,2016,D.O. Ribera del Duero,Crianza,18 meses,Vino Tinto
VT-BASSUS-FINCA-CASILLA-HERRERA,Vino Tinto Bassus Finca Casilla Herrera,"<p><strong>Vino Tinto Bassus Finca Casilla Herrera</strong></p>
<p>El <strong>Vino Tinto Bassus Finca Casilla Herrera, </strong>est&aacute; elaborado principalmente con uva t&iacute;pica Valenciana, tipo varietal Bobal; se ha hecho un coupage con uvas de variedad : Cabernet, Merlot, Syrah y Petit Verdot. Tiene una&nbsp;D.O. Utiel-Requena, la cual cuenta con clima continental &nbsp;influenciado por el Mediterr&aacute;neo y suelos arcillosos y calizos. Para la elaboraci&oacute;n del <strong>Vino Tinto Bassus Finca Casilla Herrera,&nbsp;</strong>se seleccionan las mejores uvas&nbsp;<span>de cepas de baja producci&oacute;n de sus propios vi&ntilde;edos de Pinot Noir, vendimiando s&oacute;lo por la ma&ntilde;ana y utilizando cajas de 15 kg.&nbsp;<span>Una vez en la bodega, se depositan las cajas llenas de uva en una c&aacute;mara frigor&iacute;fica, manteniendolas 3 d&iacute;as a -10&ordm;C. Tras esto, se selecciona caja por caja y se procede al despalillado y encubado en barricas de roble americano. </span></span></p>
<p><span><span>Para proceder a la maceraci&oacute;n en fr&iacute;o a 8&ordm;C, se i<span>ntroduce una placa de acero inoxidable refrigerada por agua; a cada barrica durante 4 d&iacute;as. El sombrero se hunde diariamente, barrica por barrica, de forma manual. En cuanto a la fermentaci&oacute;n, se cierra el agua refrigerante para que la propia barrica pueda llegar a un m&aacute;ximo de 26&ordm;C de temperatura. Pasados 15 d&iacute;as se prensa neum&aacute;ticamente la uva, prensado de no m&aacute;s de 0.5 Bares. Crianza de 10 a 20 meses en barricas nuevas de roble franc&eacute;s Allier, y embotellado filtr&aacute;ndolo ligeramente.</span></span></span>&nbsp;</p>
<p>Servir este vino a una temperatura entre 16 y 18 grados.&nbsp;<br /><br />Si tiene alguna duda a la hora de <strong>comprar</strong>&nbsp;<strong>Vino Tinto Bassus Finca Casilla Herrera</strong>, p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.</p>",29.5,Bobal|Cabernet Franc|Merlot|Petit Verdot|Syrah,BODEGAS HISPANO SUIZAS S.L.,2017,D.O. Valencia,Crianza,10 meses,Vino Tinto
biberius,Vino Tinto Biberius Roble,"<p>Vino Tinto Biberius Roble de Comenge.</p>
<p>El vino tinto Biberius  está elaborado con 100% Tempranillo y pertenece a la D.O. Ribera del Duero. Los viñedos están situados entre Pesquera del Duero y Curiel del Duero, cuenta las bodegas Comenge con 32 hectáreas de tempranillo. En esta bodega se tiene un exquisito cuidado por la sostenibilidad considerando el viñedo como un elemento vivo. Este es el vino mas joven de la Bodega que tiene una crianza de 4 meses en barricas de roble Francés. Servir este vino a una temperatura entre 16º y 18º. </p>
<p>MARIDAJE DEL VINO TINTO BIBERIUS ROBLE: Está especialmente recomendado para carnes blancas, aperitivos, arroces, pastas... </p>
<p>Si tiene alguna duda a la hora de comprar Vino tinto Biberius, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.</p>",7.2,Tempranillo,Carbonicas Alvarez S.L.,2021,D.O. Ribera del Duero,Roble,4 meses,Vino Tinto
VT-BOSQUE-DE-MATASNOS,Vino Tinto Bosque de Matasnos Crianza,"<p><strong>VINO TINTO BOSQUE DE MATASNOS CRIANZA</strong></p>
<p>El vino tinto Bosque de Matasnos &nbsp;est&aacute; elaborado con 95% Tempranillo y 5% Merlot. Pertenece a la D.O. Ribera del Duero.&nbsp;El vino se nombra como el vi&ntilde;edo, Bosque de Matasnos, localizado a unos 950 metros de altitud sobre el nivel del mar. &nbsp;Este vino tiene una crianza de de 12 meses en barricas , nuevas de calidad premium, de roble Franc&eacute;s y Americano.&nbsp;Servir este vino a una temperatura de 18&ordm;, antes de ser servido es recomendable decantarlo, para percibir su multitud de aromas.&nbsp;</p>
<p>Graduaci&oacute;n Alcoh&oacute;lica de El Vino Tinto Bosque de Matasnos : 15.00 grados&nbsp;</p>
<p>Si tiene alguna duda a la hora de <strong>comprar Vino tinto Bosque de Matasnos,</strong> p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.&nbsp;</p>",27.9,Tempranillo," DISTRIBUCIONES M. ARRANZ, S.A",2019,D.O. Ribera del Duero,Crianza,12 meses,Vino Tinto
